DATE,ATHR,ATHR_peak,HRAT,ATHR_peak
2020-03-22 04:05:00,1.8734557470e+06,1.8734557470e+06,1.3932424827e+06,1.3932424827e+06
2020-03-22 04:10:00,1.7646287550e+06,1.7646287550e+06,1.4873838309e+06,1.4873838309e+06
2020-03-22 04:15:00,1.6974382362e+06,1.6974382362e+06,1.5453857782e+06,1.5453857782e+06
2020-03-22 04:20:00,1.6374082650e+06,1.6374082650e+06,1.4765636533e+06,1.4765636533e+06
2020-03-22 04:25:00,1.6127198715e+06,1.6127198715e+06,1.5091714996e+06,1.5091714996e+06
2020-03-22 04:30:00,1.6855667385e+06,1.6855667385e+06,1.3717565538e+06,1.3717565538e+06
2020-03-22 04:35:00,1.6606651558e+06,1.6606651558e+06,1.4113497466e+06,1.4113497466e+06
2020-03-22 04:40:00,1.6059385817e+06,1.6059385817e+06,1.3629216537e+06,1.3629216537e+06
2020-03-22 04:45:00,1.6378354227e+06,1.6378354227e+06,1.4016799309e+06,1.4016799309e+06
2020-03-22 04:50:00,1.6395109490e+06,1.6395109490e+06,1.4545274464e+06,1.4545274464e+06
2020-03-22 04:55:00,1.6560674506e+06,1.6560674506e+06,1.4521268967e+06,1.4521268967e+06
2020-03-22 05:00:00,1.6624981722e+06,1.6624981722e+06,1.3868434157e+06,1.3868434157e+06
2020-03-22 05:05:00,1.7110381687e+06,1.7110381687e+06,1.3842152850e+06,1.3842152850e+06
2020-03-22 05:10:00,1.6602087131e+06,1.6602087131e+06,1.4218775426e+06,1.4218775426e+06
2020-03-22 05:15:00,1.6830579263e+06,1.6830579263e+06,1.3820765992e+06,1.3820765992e+06
2020-03-22 05:20:00,1.6366628025e+06,1.6366628025e+06,1.4773976429e+06,1.4773976429e+06
2020-03-22 05:25:00,1.6149781978e+06,1.6149781978e+06,1.4655863464e+06,1.4655863464e+06
2020-03-22 05:30:00,1.6347129026e+06,1.6347129026e+06,1.3936524183e+06,1.3936524183e+06
2020-03-22 05:35:00,1.6608908313e+06,1.6608908313e+06,1.4076897268e+06,1.4076897268e+06
2020-03-22 05:40:00,1.6124129760e+06,1.6124129760e+06,1.3814727407e+06,1.3814727407e+06
2020-03-22 05:45:00,1.6189120556e+06,1.6189120556e+06,1.4212116462e+06,1.4212116462e+06
2020-03-22 05:50:00,1.5809620512e+06,1.5809620512e+06,1.3662202590e+06,1.3662202590e+06
2020-03-22 05:55:00,1.6614706302e+06,1.6614706302e+06,1.4820953518e+06,1.4820953518e+06
2020-03-22 06:00:00,1.6435371435e+06,1.6435371435e+06,1.4819898640e+06,1.4819898640e+06
2020-03-22 06:05:00,1.6419480536e+06,1.6419480536e+06,1.4511221494e+06,1.4511221494e+06
2020-03-22 06:10:00,1.5557320624e+06,1.5557320624e+06,1.4855068995e+06,1.4855068995e+06
2020-03-22 06:15:00,1.6620754148e+06,1.6620754148e+06,1.4920333892e+06,1.4920333892e+06
2020-03-22 06:20:00,1.5838328186e+06,1.5838328186e+06,1.4642917294e+06,1.4642917294e+06
2020-03-22 06:25:00,1.5312557893e+06,1.5312557893e+06,1.4629814145e+06,1.4629814145e+06
2020-03-22 06:30:00,1.5894816188e+06,1.5894816188e+06,1.3915853601e+06,1.3915853601e+06
2020-03-22 06:35:00,1.8359136221e+06,1.8359136221e+06,1.3982843976e+06,1.3982843976e+06
2020-03-22 06:40:00,1.5593967756e+06,1.5593967756e+06,1.4541457243e+06,1.4541457243e+06
2020-03-22 06:45:00,1.7908088492e+06,1.7908088492e+06,1.4122993886e+06,1.4122993886e+06
2020-03-22 06:50:00,1.6870198779e+06,1.6870198779e+06,1.3794168133e+06,1.3794168133e+06
2020-03-22 06:55:00,1.7380876379e+06,1.7380876379e+06,1.3969416619e+06,1.3969416619e+06
2020-03-22 07:00:00,1.7848647120e+06,1.7848647120e+06,1.4728778802e+06,1.4728778802e+06
2020-03-22 07:05:00,1.7343564860e+06,1.7343564860e+06,1.3936421054e+06,1.3936421054e+06
2020-03-22 07:10:00,2.0263603348e+06,2.0263603348e+06,1.4132605932e+06,1.4132605932e+06
2020-03-22 07:15:00,1.6716735232e+06,1.6716735232e+06,1.4492769399e+06,1.4492769399e+06
2020-03-22 07:20:00,1.9899253298e+06,1.9899253298e+06,1.4218881958e+06,1.4218881958e+06
2020-03-22 07:25:00,1.5886089246e+06,1.5886089246e+06,1.3670792218e+06,1.3670792218e+06
2020-03-22 07:30:00,1.5874828694e+06,1.5874828694e+06,1.4813701512e+06,1.4813701512e+06
2020-03-22 07:35:00,1.6398957380e+06,1.6398957380e+06,1.4004891061e+06,1.4004891061e+06
2020-03-22 07:40:00,1.5606160391e+06,1.5606160391e+06,1.3730296711e+06,1.3730296711e+06
2020-03-22 07:45:00,1.6072691451e+06,1.6072691451e+06,1.4064646055e+06,1.4064646055e+06
2020-03-22 07:50:00,2.0912554949e+06,2.0912554949e+06,1.4528237655e+06,1.4528237655e+06
2020-03-22 07:55:00,1.6580519655e+06,1.6580519655e+06,1.4110081596e+06,1.4110081596e+06
2020-03-22 08:00:00,1.5510163276e+06,1.5510163276e+06,1.4527143552e+06,1.4527143552e+06
2020-03-22 08:05:00,1.9182585710e+06,1.9182585710e+06,1.4842265865e+06,1.4842265865e+06
2020-03-22 08:10:00,1.7124244900e+06,1.7124244900e+06,1.4799816562e+06,1.4799816562e+06
2020-03-22 08:15:00,1.5691804932e+06,1.5691804932e+06,1.4526463511e+06,1.4526463511e+06
2020-03-22 08:20:00,1.8933324676e+06,1.8933324676e+06,1.4834285780e+06,1.4834285780e+06
2020-03-22 08:25:00,1.8510671303e+06,1.8510671303e+06,1.4517717500e+06,1.4517717500e+06
2020-03-22 08:30:00,1.8389018044e+06,1.8389018044e+06,1.4686158901e+06,1.4686158901e+06
2020-03-22 08:35:00,1.8893881509e+06,1.8893881509e+06,1.3961087799e+06,1.3961087799e+06
2020-03-22 08:40:00,2.1791866016e+06,2.1791866016e+06,1.3752401204e+06,1.3752401204e+06
2020-03-22 08:45:00,1.6925931473e+06,1.6925931473e+06,1.3997506487e+06,1.3997506487e+06
2020-03-22 08:50:00,2.7783869502e+06,2.7783869502e+06,1.3882931925e+06,1.3882931925e+06
2020-03-22 08:55:00,1.7324789197e+06,1.7324789197e+06,1.5102144322e+06,1.5102144322e+06
2020-03-22 09:00:00,1.8993895692e+06,1.8993895692e+06,1.4729072016e+06,1.4729072016e+06
2020-03-22 09:05:00,1.9942022562e+06,1.9942022562e+06,1.6792906176e+06,1.6792906176e+06
2020-03-22 09:10:00,1.8058253735e+06,1.8058253735e+06,1.4664900857e+06,1.4664900857e+06
2020-03-22 09:15:00,1.7481082631e+06,1.7481082631e+06,1.4939316210e+06,1.4939316210e+06
2020-03-22 09:20:00,1.8109909460e+06,1.8109909460e+06,1.5096430814e+06,1.5096430814e+06
2020-03-22 09:25:00,1.6693809179e+06,1.6693809179e+06,1.4811056169e+06,1.4811056169e+06
2020-03-22 09:30:00,2.2467550215e+06,2.2467550215e+06,1.5052753220e+06,1.5052753220e+06
2020-03-22 09:35:00,2.2431428819e+06,2.2431428819e+06,1.5675548502e+06,1.5675548502e+06
2020-03-22 09:40:00,2.0047097247e+06,2.0047097247e+06,1.5780168348e+06,1.5780168348e+06
2020-03-22 09:45:00,2.3289613689e+06,2.3289613689e+06,1.5148033534e+06,1.5148033534e+06
