DATE,ESFR,ESFR_peak,FRES,ESFR_peak
2020-03-15 05:40:00,4.4567439766e+09,4.4567439766e+09,2.5871749413e+08,2.5871749413e+08
2020-03-15 05:45:00,4.7578774260e+09,4.7578774260e+09,1.8010077985e+09,1.8010077985e+09
2020-03-15 05:50:00,3.2320802356e+09,3.2320802356e+09,1.3335487847e+08,1.3335487847e+08
2020-03-15 05:55:00,2.7040064190e+09,2.7040064190e+09,1.6269875051e+08,1.6269875051e+08
2020-03-15 06:00:00,2.7420831610e+09,2.7420831610e+09,1.4697873695e+09,1.4697873695e+09
2020-03-15 06:05:00,3.2090577261e+09,3.2090577261e+09,4.7287892994e+08,4.7287892994e+08
2020-03-15 06:10:00,3.0032630912e+09,3.0032630912e+09,2.5981583699e+08,2.5981583699e+08
2020-03-15 06:15:00,3.0042935348e+09,3.0042935348e+09,1.9470440658e+08,1.9470440658e+08
2020-03-15 06:20:00,2.8271930689e+09,2.8271930689e+09,6.1070511882e+08,6.1070511882e+08
2020-03-15 06:25:00,3.8673574087e+09,3.8673574087e+09,2.8957962901e+08,2.8957962901e+08
2020-03-15 06:30:00,3.3337439835e+09,3.3337439835e+09,5.8797856721e+07,5.8797856721e+07
2020-03-15 06:35:00,2.0627751323e+09,2.0627751323e+09,1.8262283182e+09,1.8262283182e+09
2020-03-15 06:40:00,3.1423214205e+09,3.1423214205e+09,6.1455712081e+07,6.1455712081e+07
2020-03-15 06:45:00,3.6368935045e+09,3.6368935045e+09,1.4293443019e+08,1.4293443019e+08
2020-03-15 06:50:00,3.4464707451e+09,3.4464707451e+09,1.3663437385e+09,1.3663437385e+09
2020-03-15 06:55:00,3.0859061142e+09,3.0859061142e+09,2.6418289318e+08,2.6418289318e+08
2020-03-15 07:00:00,2.7870370912e+09,2.7870370912e+09,1.7624802434e+08,1.7624802434e+08
2020-03-15 07:05:00,2.7000917240e+09,2.7000917240e+09,3.1093884875e+08,3.1093884875e+08
2020-03-15 07:10:00,2.2205803013e+09,2.2205803013e+09,2.8555950507e+08,2.8555950507e+08
2020-03-15 07:15:00,1.8109215423e+09,1.8109215423e+09,2.9310494465e+08,2.9310494465e+08
2020-03-15 07:20:00,2.2151809711e+09,2.2151809711e+09,2.4100352511e+09,2.4100352511e+09
2020-03-15 07:25:00,2.5806017162e+09,2.5806017162e+09,1.0387992608e+09,1.0387992608e+09
2020-03-15 07:30:00,2.7330588606e+09,2.7330588606e+09,2.6302480616e+08,2.6302480616e+08
2020-03-15 07:35:00,2.7410909417e+09,2.7410909417e+09,1.4699713561e+08,1.4699713561e+08
2020-03-15 07:40:00,2.3576515276e+09,2.3576515276e+09,1.5688967410e+09,1.5688967410e+09
2020-03-15 07:45:00,2.2508122514e+09,2.2508122514e+09,4.7324004577e+08,4.7324004577e+08
2020-03-15 07:50:00,1.9825876104e+09,1.9825876104e+09,2.8577195514e+08,2.8577195514e+08
2020-03-15 07:55:00,2.2117039479e+09,2.2117039479e+09,3.9513555129e+08,3.9513555129e+08
2020-03-15 08:00:00,2.4226364529e+09,2.4226364529e+09,1.2705993460e+08,1.2705993460e+08
2020-03-15 08:05:00,3.2333298088e+09,3.2333298088e+09,1.5415032182e+08,1.5415032182e+08
2020-03-15 08:10:00,3.4996210645e+09,3.4996210645e+09,3.2504273800e+08,3.2504273800e+08
2020-03-15 08:15:00,2.9181946644e+09,2.9181946644e+09,4.7122095070e+08,4.7122095070e+08
2020-03-15 08:20:00,2.7027596789e+09,2.7027596789e+09,4.5859543992e+08,4.5859543992e+08
2020-03-15 08:25:00,2.0708770181e+09,2.0708770181e+09,1.9346003945e+08,1.9346003945e+08
2020-03-15 08:30:00,1.5063260271e+09,1.5063260271e+09,1.5338778535e+08,1.5338778535e+08
2020-03-15 08:35:00,1.4984611996e+09,1.4984611996e+09,3.4371528381e+08,3.4371528381e+08
2020-03-15 08:40:00,1.7172401365e+09,1.7172401365e+09,6.9883450701e+08,6.9883450701e+08
2020-03-15 08:45:00,2.5575254738e+09,2.5575254738e+09,5.1086992525e+08,5.1086992525e+08
2020-03-15 08:50:00,2.9465889475e+09,2.9465889475e+09,8.3061589735e+08,8.3061589735e+08
2020-03-15 08:55:00,2.4273863737e+09,2.4273863737e+09,5.1013035363e+08,5.1013035363e+08
2020-03-15 09:00:00,2.2354450522e+09,2.2354450522e+09,1.0871819011e+09,1.0871819011e+09
2020-03-15 09:05:00,1.9699424975e+09,1.9699424975e+09,1.6379469414e+09,1.6379469414e+09
2020-03-15 09:10:00,2.4203882202e+09,2.4203882202e+09,2.0200193590e+09,2.0200193590e+09
2020-03-15 09:15:00,2.7235074220e+09,2.7235074220e+09,8.4053350511e+08,8.4053350511e+08
2020-03-15 09:20:00,2.5782234903e+09,2.5782234903e+09,1.3251784045e+09,1.3251784045e+09
2020-03-15 09:25:00,3.2173168811e+09,3.2173168811e+09,1.8929244159e+09,1.8929244159e+09
2020-03-15 09:30:00,2.8684461735e+09,2.8684461735e+09,1.1378021638e+09,1.1378021638e+09
2020-03-15 09:35:00,6.1538641382e+09,6.1538641382e+09,7.2273969741e+08,7.2273969741e+08
2020-03-15 09:40:00,2.0407143157e+09,2.0407143157e+09,4.7702693358e+08,4.7702693358e+08
2020-03-15 09:45:00,2.0076524362e+09,2.0076524362e+09,7.6864279153e+08,7.6864279153e+08
2020-03-15 09:50:00,1.7709508603e+09,1.7709508603e+09,8.5348880556e+08,8.5348880556e+08
2020-03-15 09:55:00,1.4156570614e+09,1.4156570614e+09,1.0716098190e+09,1.0716098190e+09
2020-03-15 10:00:00,4.8663138036e+09,4.8663138036e+09,2.6122756037e+08,2.6122756037e+08
2020-03-15 10:05:00,3.3178601667e+09,3.3178601667e+09,1.6910063177e+08,1.6910063177e+08
2020-03-15 10:10:00,2.0803636340e+09,2.0803636340e+09,1.8538535135e+08,1.8538535135e+08
2020-03-15 10:15:00,1.9256045595e+09,1.9256045595e+09,1.9954486137e+08,1.9954486137e+08
2020-03-15 10:20:00,2.6588040562e+09,2.6588040562e+09,2.8194853207e+08,2.8194853207e+08
2020-03-15 10:25:00,2.5390385018e+09,2.5390385018e+09,1.3092249674e+08,1.3092249674e+08
2020-03-15 10:30:00,2.0334047406e+09,2.0334047406e+09,1.1120074295e+08,1.1120074295e+08
2020-03-15 10:35:00,1.6170316517e+09,1.6170316517e+09,3.1879018118e+08,3.1879018118e+08
2020-03-15 10:40:00,1.5221799986e+09,1.5221799986e+09,2.4475169179e+08,2.4475169179e+08
2020-03-15 10:45:00,9.8823402208e+08,9.8823402208e+08,2.6901297443e+08,2.6901297443e+08
2020-03-15 10:50:00,5.6235195862e+08,5.6235195862e+08,2.4901384953e+08,2.4901384953e+08
2020-03-15 10:55:00,2.9663297112e+08,2.9663297112e+08,2.0003830428e+08,2.0003830428e+08
2020-03-15 11:00:00,2.2085382185e+08,2.2085382185e+08,8.5794541706e+07,8.5794541706e+07
2020-03-15 11:05:00,5.5003167198e+08,5.5003167198e+08,1.0075748859e+08,1.0075748859e+08
2020-03-15 11:10:00,8.7119151716e+08,8.7119151716e+08,7.3943454000e+07,7.3943454000e+07
2020-03-15 11:15:00,3.6923828237e+08,3.6923828237e+08,6.1315703856e+07,6.1315703856e+07
2020-03-15 11:20:00,4.5518448317e+08,4.5518448317e+08,8.5906115402e+07,8.5906115402e+07
2020-03-15 11:25:00,2.2941927478e+08,2.2941927478e+08,3.7845510145e+08,3.7845510145e+08
2020-03-15 11:30:00,6.6571426269e+08,6.6571426269e+08,4.3620914719e+08,4.3620914719e+08
2020-03-15 11:35:00,6.6791743869e+08,6.6791743869e+08,5.7789298121e+07,5.7789298121e+07
2020-03-15 11:40:00,8.2864640409e+08,8.2864640409e+08,6.2493672536e+08,6.2493672536e+08
2020-03-15 11:45:00,8.4170346193e+08,8.4170346193e+08,8.3303047510e+08,8.3303047510e+08
2020-03-15 11:50:00,1.4076163755e+09,1.4076163755e+09,5.0438907179e+08,5.0438907179e+08
2020-03-15 11:55:00,1.5802236530e+09,1.5802236530e+09,1.6483909079e+08,1.6483909079e+08
2020-03-15 12:00:00,1.6642034931e+09,1.6642034931e+09,5.9875213255e+07,5.9875213255e+07
2020-03-15 12:05:00,1.4419944309e+09,1.4419944309e+09,6.6221962853e+07,6.6221962853e+07
2020-03-15 12:10:00,1.5198908985e+09,1.5198908985e+09,3.2926483998e+08,3.2926483998e+08
2020-03-15 12:15:00,1.7383080879e+09,1.7383080879e+09,1.9855111417e+08,1.9855111417e+08
2020-03-15 12:20:00,1.5150424522e+09,1.5150424522e+09,1.2222497604e+09,1.2222497604e+09
2020-03-15 12:25:00,1.2197425213e+09,1.2197425213e+09,4.4798268490e+07,4.4798268490e+07
2020-03-15 12:30:00,1.2644969479e+09,1.2644969479e+09,3.6336098347e+07,3.6336098347e+07
2020-03-15 12:35:00,2.2337433069e+09,2.2337433069e+09,4.5401875678e+08,4.5401875678e+08
2020-03-15 12:40:00,7.6568616332e+08,7.6568616332e+08,4.0972154096e+08,4.0972154096e+08
2020-03-15 12:45:00,7.3925402268e+08,7.3925402268e+08,3.6720755993e+08,3.6720755993e+08
2020-03-15 12:50:00,8.6341683782e+08,8.6341683782e+08,2.5415878905e+08,2.5415878905e+08
2020-03-15 12:55:00,1.9910091671e+09,1.9910091671e+09,8.2019082759e+08,8.2019082759e+08
2020-03-15 13:00:00,2.2538574078e+09,2.2538574078e+09,6.5631252463e+08,6.5631252463e+08
2020-03-15 13:05:00,1.0982828097e+09,1.0982828097e+09,2.6527130661e+09,2.6527130661e+09
2020-03-15 13:10:00,3.0028882750e+09,3.0028882750e+09,3.7181319229e+09,3.7181319229e+09
2020-03-15 13:15:00,4.6608051492e+09,4.6608051492e+09,3.2725757042e+09,3.2725757042e+09
2020-03-15 13:20:00,7.3392710185e+09,7.3392710185e+09,1.5285497225e+09,1.5285497225e+09
2020-03-15 13:25:00,6.1955846736e+09,6.1955846736e+09,1.4199965999e+09,1.4199965999e+09
2020-03-15 13:30:00,6.2674027051e+09,6.2674027051e+09,9.2978585889e+08,9.2978585889e+08
2020-03-15 13:35:00,6.1639466229e+09,6.1639466229e+09,3.0641552677e+09,3.0641552677e+09
2020-03-15 13:40:00,6.1424808130e+09,6.1424808130e+09,3.6423917760e+09,3.6423917760e+09
2020-03-15 13:45:00,5.7414245024e+09,5.7414245024e+09,1.6478667825e+09,1.6478667825e+09
2020-03-15 13:50:00,4.4287962072e+09,4.4287962072e+09,7.4138007799e+08,7.4138007799e+08
2020-03-15 13:55:00,4.2687835786e+09,4.2687835786e+09,9.1234021730e+08,9.1234021730e+08
2020-03-15 14:00:00,4.4235752219e+09,4.4235752219e+09,3.4322693625e+08,3.4322693625e+08
2020-03-15 14:05:00,4.3345330369e+09,4.3345330369e+09,2.0658526498e+08,2.0658526498e+08
2020-03-15 14:10:00,3.8251832262e+09,3.8251832262e+09,7.8807977873e+08,7.8807977873e+08
2020-03-15 14:15:00,4.1938406618e+09,4.1938406618e+09,2.9649659301e+08,2.9649659301e+08
2020-03-15 14:20:00,3.4492759087e+09,3.4492759087e+09,7.4258538813e+07,7.4258538813e+07
2020-03-15 14:25:00,3.8516440011e+09,3.8516440011e+09,3.2964164401e+08,3.2964164401e+08
2020-03-15 14:30:00,4.7686260194e+09,4.7686260194e+09,3.4068748512e+08,3.4068748512e+08
2020-03-15 14:35:00,4.6451106590e+09,4.6451106590e+09,4.1045776832e+08,4.1045776832e+08
2020-03-15 14:40:00,4.6858851928e+09,4.6858851928e+09,1.7652181778e+08,1.7652181778e+08
2020-03-15 14:45:00,4.5319747389e+09,4.5319747389e+09,3.2979258816e+08,3.2979258816e+08
2020-03-15 14:50:00,2.9979104920e+09,2.9979104920e+09,4.6405814309e+07,4.6405814309e+07
2020-03-15 14:55:00,3.8926792645e+09,3.8926792645e+09,6.8212037835e+07,6.8212037835e+07
2020-03-15 15:00:00,3.4588521011e+09,3.4588521011e+09,5.9790567964e+08,5.9790567964e+08
2020-03-15 15:05:00,3.3634474702e+09,3.3634474702e+09,1.2460355682e+08,1.2460355682e+08
2020-03-15 15:10:00,2.6012350229e+09,2.6012350229e+09,1.8557803272e+08,1.8557803272e+08
2020-03-15 15:15:00,2.4976031726e+09,2.4976031726e+09,1.4960834343e+08,1.4960834343e+08
2020-03-15 15:20:00,2.3965453423e+09,2.3965453423e+09,1.7743319770e+08,1.7743319770e+08
2020-03-15 15:25:00,2.0867305161e+09,2.0867305161e+09,1.3323796649e+08,1.3323796649e+08
2020-03-15 15:30:00,1.9941651059e+09,1.9941651059e+09,2.5068536851e+08,2.5068536851e+08
2020-03-15 15:35:00,3.9353661221e+09,3.9353661221e+09,6.4122008036e+08,6.4122008036e+08
2020-03-15 15:40:00,3.9697344631e+09,3.9697344631e+09,1.6850817800e+08,1.6850817800e+08
2020-03-15 15:45:00,2.6538987827e+09,2.6538987827e+09,3.1249633800e+08,3.1249633800e+08
2020-03-15 15:50:00,1.7305983576e+09,1.7305983576e+09,1.1594642489e+09,1.1594642489e+09
2020-03-15 15:55:00,1.0918853198e+09,1.0918853198e+09,8.6353312337e+08,8.6353312337e+08
2020-03-15 16:00:00,3.1579404302e+09,3.1579404302e+09,4.9632146250e+08,4.9632146250e+08
2020-03-15 16:05:00,4.6073111660e+09,4.6073111660e+09,3.5828564475e+08,3.5828564475e+08
2020-03-15 16:10:00,5.2474186410e+09,5.2474186410e+09,5.2494380644e+08,5.2494380644e+08
2020-03-15 16:15:00,4.8474631603e+09,4.8474631603e+09,9.7471327294e+08,9.7471327294e+08
2020-03-15 16:20:00,4.8000873002e+09,4.8000873002e+09,7.6704805059e+08,7.6704805059e+08
2020-03-15 16:25:00,4.6157514952e+09,4.6157514952e+09,5.3766467057e+08,5.3766467057e+08
2020-03-15 16:30:00,5.1667539261e+09,5.1667539261e+09,2.2525831510e+08,2.2525831510e+08
2020-03-15 16:35:00,4.2313178615e+09,4.2313178615e+09,1.1446020329e+08,1.1446020329e+08
2020-03-15 16:40:00,4.4349642758e+09,4.4349642758e+09,2.0179057631e+09,2.0179057631e+09
2020-03-15 16:45:00,3.4391651834e+09,3.4391651834e+09,9.3531124121e+07,9.3531124121e+07
2020-03-15 16:50:00,4.2502241069e+09,4.2502241069e+09,4.1793051467e+07,4.1793051467e+07
2020-03-15 16:55:00,3.2092485740e+09,3.2092485740e+09,7.9094990219e+07,7.9094990219e+07
2020-03-15 17:00:00,2.3206529739e+09,2.3206529739e+09,2.7040162375e+08,2.7040162375e+08
2020-03-15 17:05:00,1.5300550480e+09,1.5300550480e+09,3.3373918718e+08,3.3373918718e+08
2020-03-15 17:10:00,1.3607110526e+09,1.3607110526e+09,3.8709144425e+09,3.8709144425e+09
2020-03-15 17:15:00,1.6215539006e+09,1.6215539006e+09,3.6081840625e+09,3.6081840625e+09
2020-03-15 17:20:00,1.6388183131e+09,1.6388183131e+09,3.9841775237e+08,3.9841775237e+08
2020-03-15 17:25:00,1.5471986091e+09,1.5471986091e+09,3.0363556990e+08,3.0363556990e+08
2020-03-15 17:30:00,1.4236006488e+09,1.4236006488e+09,2.3164630011e+08,2.3164630011e+08
2020-03-15 17:35:00,1.8050543947e+09,1.8050543947e+09,1.5584782608e+08,1.5584782608e+08
2020-03-15 17:40:00,1.6967426203e+09,1.6967426203e+09,1.4155200716e+09,1.4155200716e+09
2020-03-15 17:45:00,1.6259453659e+09,1.6259453659e+09,1.8940638452e+09,1.8940638452e+09
2020-03-15 17:50:00,1.3356775327e+09,1.3356775327e+09,2.0017433352e+08,2.0017433352e+08
2020-03-15 17:55:00,1.2881481174e+09,1.2881481174e+09,1.5172663545e+08,1.5172663545e+08
2020-03-15 18:00:00,2.9013671376e+09,2.9013671376e+09,3.8969728840e+08,3.8969728840e+08
2020-03-15 18:05:00,2.4846159119e+09,2.4846159119e+09,1.0764771821e+08,1.0764771821e+08
2020-03-15 18:10:00,1.8523784473e+09,1.8523784473e+09,1.7941561637e+08,1.7941561637e+08
2020-03-15 18:15:00,1.5028869721e+09,1.5028869721e+09,3.9633503684e+09,3.9633503684e+09
2020-03-15 18:20:00,1.5174808140e+09,1.5174808140e+09,9.0068734532e+09,9.0068734532e+09
2020-03-15 18:25:00,8.5377776357e+08,8.5377776357e+08,2.0922259959e+09,2.0922259959e+09
2020-03-15 18:30:00,7.9427651693e+08,7.9427651693e+08,5.7307944269e+08,5.7307944269e+08
2020-03-15 18:35:00,7.5283326472e+08,7.5283326472e+08,4.0995908554e+08,4.0995908554e+08
2020-03-15 18:40:00,9.6510620875e+08,9.6510620875e+08,4.8947813527e+08,4.8947813527e+08
2020-03-15 18:45:00,1.5211276002e+09,1.5211276002e+09,1.0365984059e+09,1.0365984059e+09
2020-03-15 18:50:00,1.4928688812e+09,1.4928688812e+09,2.5812553575e+09,2.5812553575e+09
2020-03-15 18:55:00,9.3400929135e+08,9.3400929135e+08,1.2871584693e+09,1.2871584693e+09
2020-03-15 19:00:00,8.4097419933e+08,8.4097419933e+08,2.9243230023e+09,2.9243230023e+09
2020-03-15 19:05:00,9.2058108095e+08,9.2058108095e+08,2.4156815424e+09,2.4156815424e+09
2020-03-15 19:10:00,1.6962299337e+09,1.6962299337e+09,1.1432059265e+09,1.1432059265e+09
2020-03-15 19:15:00,1.2198391328e+09,1.2198391328e+09,8.7990835024e+08,8.7990835024e+08
2020-03-15 19:20:00,6.5440784833e+08,6.5440784833e+08,3.4886914866e+09,3.4886914866e+09
2020-03-15 19:25:00,7.0095420878e+08,7.0095420878e+08,5.8725505877e+09,5.8725505877e+09
2020-03-15 19:30:00,1.0436901084e+09,1.0436901084e+09,2.7241688652e+09,2.7241688652e+09
2020-03-15 19:35:00,1.2743086414e+09,1.2743086414e+09,1.4412679073e+09,1.4412679073e+09
2020-03-15 19:40:00,1.0024958848e+09,1.0024958848e+09,5.1732812296e+08,5.1732812296e+08
2020-03-15 19:45:00,2.1327264033e+09,2.1327264033e+09,4.2958898551e+08,4.2958898551e+08
2020-03-15 19:50:00,1.2749690890e+09,1.2749690890e+09,2.5916525932e+09,2.5916525932e+09
