DATE,IRIE,IRIE_peak,IEIR,IEIR_peak
2020-03-15 08:30:00,6.7955114712e+07,6.7955114712e+07,6.2068619457e+07,6.2068619457e+07
2020-03-15 08:35:00,6.9784995172e+07,6.9784995172e+07,5.2759689024e+07,5.2759689024e+07
2020-03-15 08:40:00,7.7928238930e+07,7.7928238930e+07,3.8223138027e+07,3.8223138027e+07
2020-03-15 08:45:00,6.2026211609e+07,6.2026211609e+07,3.6762574884e+07,3.6762574884e+07
2020-03-15 08:50:00,6.3184461817e+07,6.3184461817e+07,3.7212908273e+07,3.7212908273e+07
2020-03-15 08:55:00,7.9116275347e+07,7.9116275347e+07,4.3393012333e+07,4.3393012333e+07
2020-03-15 09:00:00,7.6461690709e+07,7.6461690709e+07,8.2052240672e+07,8.2052240672e+07
2020-03-15 09:05:00,9.9671869343e+07,9.9671869343e+07,6.7114245736e+07,6.7114245736e+07
2020-03-15 09:10:00,9.0670261729e+07,9.0670261729e+07,4.7737113600e+07,4.7737113600e+07
2020-03-15 09:15:00,8.0743082448e+07,8.0743082448e+07,7.1730749551e+07,7.1730749551e+07
2020-03-15 09:20:00,8.5350698829e+07,8.5350698829e+07,5.5849948113e+07,5.5849948113e+07
2020-03-15 09:25:00,9.5639807075e+07,9.5639807075e+07,6.6868492059e+07,6.6868492059e+07
2020-03-15 09:30:00,8.7295474854e+07,8.7295474854e+07,6.9362166834e+07,6.9362166834e+07
2020-03-15 09:35:00,8.8024713333e+07,8.8024713333e+07,8.6499101478e+07,8.6499101478e+07
2020-03-15 09:40:00,8.8662693613e+07,8.8662693613e+07,9.4417354797e+07,9.4417354797e+07
2020-03-15 09:45:00,6.8703685942e+07,6.8703685942e+07,8.4225982674e+07,8.4225982674e+07
2020-03-15 09:50:00,7.7790786998e+07,7.7790786998e+07,7.0648696491e+07,7.0648696491e+07
2020-03-15 09:55:00,6.7092881233e+07,6.7092881233e+07,9.3370070290e+07,9.3370070290e+07
2020-03-15 10:00:00,7.9440423687e+07,7.9440423687e+07,8.6615777519e+07,8.6615777519e+07
2020-03-15 10:05:00,7.6572773565e+07,7.6572773565e+07,9.5472899994e+07,9.5472899994e+07
2020-03-15 10:10:00,9.3290987180e+07,9.3290987180e+07,6.8937620864e+07,6.8937620864e+07
2020-03-15 10:15:00,1.2396580680e+08,1.2396580680e+08,5.6741030177e+07,5.6741030177e+07
2020-03-15 10:20:00,9.4145601554e+07,9.4145601554e+07,5.5132176245e+07,5.5132176245e+07
2020-03-15 10:25:00,8.7729089911e+07,8.7729089911e+07,5.0946331142e+07,5.0946331142e+07
2020-03-15 10:30:00,1.1790406710e+08,1.1790406710e+08,1.1298490397e+08,1.1298490397e+08
2020-03-15 10:35:00,9.1127011131e+07,9.1127011131e+07,4.7192616764e+07,4.7192616764e+07
2020-03-15 10:40:00,1.1845315896e+08,1.1845315896e+08,8.4081491123e+07,8.4081491123e+07
