DATE,GRIT,GRIT_peak,ITGR,GRIT_peak
2020-03-22 04:40:00,4.2197255772e+09,4.2197255772e+09,6.3238809583e+09,6.3238809583e+09
2020-03-22 04:45:00,3.9793650017e+09,3.9793650017e+09,4.4961572911e+09,4.4961572911e+09
2020-03-22 04:50:00,3.8964303732e+09,3.8964303732e+09,5.5765691731e+09,5.5765691731e+09
2020-03-22 04:55:00,4.0835186733e+09,4.0835186733e+09,5.4037770552e+09,5.4037770552e+09
2020-03-22 05:00:00,3.6407119084e+09,3.6407119084e+09,7.7167004049e+09,7.7167004049e+09
2020-03-22 05:05:00,4.1170328631e+09,4.1170328631e+09,7.1777669039e+09,7.1777669039e+09
2020-03-22 05:10:00,3.8422047908e+09,3.8422047908e+09,5.3280567454e+09,5.3280567454e+09
2020-03-22 05:15:00,4.1469037450e+09,4.1469037450e+09,5.3348977504e+09,5.3348977504e+09
2020-03-22 05:20:00,4.3294631466e+09,4.3294631466e+09,5.3873798419e+09,5.3873798419e+09
2020-03-22 05:25:00,4.3826734429e+09,4.3826734429e+09,5.3309329416e+09,5.3309329416e+09
2020-03-22 05:30:00,4.2302854632e+09,4.2302854632e+09,5.7544652418e+09,5.7544652418e+09
2020-03-22 05:35:00,3.6538318582e+09,3.6538318582e+09,5.3059499601e+09,5.3059499601e+09
2020-03-22 05:40:00,3.8225939004e+09,3.8225939004e+09,6.7793961904e+09,6.7793961904e+09
2020-03-22 05:45:00,3.6815258298e+09,3.6815258298e+09,6.5806154664e+09,6.5806154664e+09
2020-03-22 05:50:00,3.5709143658e+09,3.5709143658e+09,5.9331983317e+09,5.9331983317e+09
2020-03-22 05:55:00,3.4015826368e+09,3.4015826368e+09,5.3471343550e+09,5.3471343550e+09
2020-03-22 06:00:00,4.1440373658e+09,4.1440373658e+09,5.7495927675e+09,5.7495927675e+09
2020-03-22 06:05:00,5.2540006747e+09,5.2540006747e+09,6.9009231001e+09,6.9009231001e+09
2020-03-22 06:10:00,4.1476016424e+09,4.1476016424e+09,7.1032328140e+09,7.1032328140e+09
2020-03-22 06:15:00,3.7648577036e+09,3.7648577036e+09,7.4998784232e+09,7.4998784232e+09
2020-03-22 06:20:00,3.1438165503e+09,3.1438165503e+09,6.3008594677e+09,6.3008594677e+09
2020-03-22 06:25:00,3.5212835816e+09,3.5212835816e+09,5.3589509123e+09,5.3589509123e+09
2020-03-22 06:30:00,3.7601381663e+09,3.7601381663e+09,3.5365838667e+09,3.5365838667e+09
2020-03-22 06:35:00,3.9405768315e+09,3.9405768315e+09,4.1772549384e+09,4.1772549384e+09
2020-03-22 06:40:00,3.7508286233e+09,3.7508286233e+09,7.0546540710e+09,7.0546540710e+09
2020-03-22 06:45:00,4.1847092820e+09,4.1847092820e+09,7.8039557740e+09,7.8039557740e+09
2020-03-22 06:50:00,4.2501445270e+09,4.2501445270e+09,6.0699077638e+09,6.0699077638e+09
2020-03-22 06:55:00,4.3485188341e+09,4.3485188341e+09,6.6621827828e+09,6.6621827828e+09
2020-03-22 07:00:00,4.0414830064e+09,4.0414830064e+09,4.4719514065e+09,4.4719514065e+09
2020-03-22 07:05:00,3.3737810198e+09,3.3737810198e+09,5.4948181629e+09,5.4948181629e+09
