DATE,DEDU,DEDU_peak,DUDE,DEDU_peak
2020-03-15 05:45:00,1.4109870343e+10,1.4109870343e+10,5.6810416070e+09,5.6810416070e+09
2020-03-15 05:50:00,1.1881475969e+10,1.1881475969e+10,3.2895812727e+09,3.2895812727e+09
2020-03-15 05:55:00,1.1534275873e+10,1.1534275873e+10,4.4980966613e+09,4.4980966613e+09
2020-03-15 06:00:00,1.7979412345e+10,1.7979412345e+10,4.2219624570e+09,4.2219624570e+09
2020-03-15 06:05:00,1.0494153256e+10,1.0494153256e+10,2.7162670686e+09,2.7162670686e+09
2020-03-15 06:10:00,1.1769282674e+10,1.1769282674e+10,8.4268663564e+09,8.4268663564e+09
2020-03-15 06:15:00,1.2890721579e+10,1.2890721579e+10,4.9898225013e+09,4.9898225013e+09
2020-03-15 06:20:00,1.5919803120e+10,1.5919803120e+10,6.1660968247e+09,6.1660968247e+09
2020-03-15 06:25:00,1.5090982843e+10,1.5090982843e+10,4.2014916144e+09,4.2014916144e+09
2020-03-15 06:30:00,1.6067845104e+10,1.6067845104e+10,4.5427211460e+09,4.5427211460e+09
2020-03-15 06:35:00,1.3751647205e+10,1.3751647205e+10,3.7151632212e+09,3.7151632212e+09
2020-03-15 06:40:00,1.3048491092e+10,1.3048491092e+10,2.9862377758e+09,2.9862377758e+09
2020-03-15 06:45:00,1.7234835595e+10,1.7234835595e+10,4.1583596405e+09,4.1583596405e+09
2020-03-15 06:50:00,1.9656016676e+10,1.9656016676e+10,5.9575473929e+09,5.9575473929e+09
2020-03-15 06:55:00,1.3142829571e+10,1.3142829571e+10,3.8053085980e+09,3.8053085980e+09
2020-03-15 07:00:00,1.2425819206e+10,1.2425819206e+10,6.7009454200e+09,6.7009454200e+09
2020-03-15 07:05:00,9.0204814822e+09,9.0204814822e+09,4.7827216468e+09,4.7827216468e+09
2020-03-15 07:10:00,1.9781807582e+10,1.9781807582e+10,3.8575014762e+09,3.8575014762e+09
2020-03-15 07:15:00,1.5173071773e+10,1.5173071773e+10,5.0332696048e+09,5.0332696048e+09
2020-03-15 07:20:00,8.9043149958e+09,8.9043149958e+09,4.1520636068e+09,4.1520636068e+09
2020-03-15 07:25:00,1.1300101618e+10,1.1300101618e+10,3.1298889799e+09,3.1298889799e+09
2020-03-15 07:30:00,1.7141161294e+10,1.7141161294e+10,6.6500633055e+09,6.6500633055e+09
2020-03-15 07:35:00,1.3700224021e+10,1.3700224021e+10,3.7604145691e+09,3.7604145691e+09
2020-03-15 07:40:00,1.3765228197e+10,1.3765228197e+10,2.6035534134e+09,2.6035534134e+09
2020-03-15 07:45:00,1.8547267420e+10,1.8547267420e+10,2.4442777669e+09,2.4442777669e+09
2020-03-15 07:50:00,1.5844111946e+10,1.5844111946e+10,4.6526847164e+09,4.6526847164e+09
2020-03-15 07:55:00,1.5716627772e+10,1.5716627772e+10,3.6888458602e+09,3.6888458602e+09
2020-03-15 08:00:00,1.9456725493e+10,1.9456725493e+10,5.0529493201e+09,5.0529493201e+09
2020-03-15 08:05:00,2.1440935028e+10,2.1440935028e+10,2.4561692872e+09,2.4561692872e+09
2020-03-15 08:10:00,1.6034407438e+10,1.6034407438e+10,2.1994940367e+09,2.1994940367e+09
2020-03-15 08:15:00,1.3140534190e+10,1.3140534190e+10,2.8083032995e+09,2.8083032995e+09
2020-03-15 08:20:00,1.2840988162e+10,1.2840988162e+10,5.8697664344e+09,5.8697664344e+09
2020-03-15 08:25:00,1.2303287790e+10,1.2303287790e+10,5.1340503197e+09,5.1340503197e+09
2020-03-15 08:30:00,9.3138298424e+09,9.3138298424e+09,4.0562428114e+09,4.0562428114e+09
2020-03-15 08:35:00,7.7667230093e+09,7.7667230093e+09,2.4851061961e+09,2.4851061961e+09
2020-03-15 08:40:00,1.1032073018e+10,1.1032073018e+10,2.8704320089e+09,2.8704320089e+09
2020-03-15 08:45:00,1.1906727263e+10,1.1906727263e+10,5.2113342906e+09,5.2113342906e+09
2020-03-15 08:50:00,8.4415668825e+09,8.4415668825e+09,1.9330857125e+09,1.9330857125e+09
